ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,소방설비산업기사(기계),2008,2,소방유체역학,29,소화약제의 특성에 관한 설명 중 옳은 것은?,text_only,,분말 소화약제는 입도가 클수록 소화효과가 증대된다.,제1종 분말 소화약제는 백색으로 착색되어 있다.,이산화탄소의 3중점은 31℃이다.,할론 소화약제 중 할론 2402가 가장 독성이 약하다.,2,1,GPT-4o,300,1,0,100.0,0.4,0.4,132,1,133,중간,0.00034,2,True,2,"문제: 소화약제의 특성에 관한 설명 중 옳은 것은?

선택지:
1. 분말 소화약제는 입도가 클수록 소화효과가 증대된다.
2. 제1종 분말 소화약제는 백색으로 착색되어 있다.
3. 이산화탄소의 3중점은 31℃이다.
4. 할론 소화약제 중 할론 2402가 가장 독성이 약하다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,소방설비산업기사(기계),2014,2,소방관계법규,54,소방대상물의 관계인에 해당하지 않는 사람은?,text_only,O,소방대상물의 소유자,소방대상물의 점유자,소방대상물의 관리자,소방대상물을 검사 중인 소방공무원,4,2,GPT-4o,300,2,0,100.0,0.9,0.5,99,1,100,중간,0.000258,4,True,4,"문제: 소방대상물의 관계인에 해당하지 않는 사람은?

선택지:
1. 소방대상물의 소유자
2. 소방대상물의 점유자
3. 소방대상물의 관리자
4. 소방대상물을 검사 중인 소방공무원

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,소방설비산업기사(기계),2018,4,소방기계시설의 구조 및 원리,64,물분무소화설비의 물분무헤드를 설치하지 아니할 수 있는 기준 중 다음 ( )안에 알맞은 것은?\n\n운전 시에 표면의 온도가 ( )℃ 이상으로 되는 등 직접 분무를 한는 경우 그 부분에 손상을 입힐우려가 있는 기계장치 등이 있는 장소,text_only,O,79,121,162,260,4,3,GPT-4o,300,3,0,100.0,1.32,0.42,130,1,131,중간,0.000335,4,True,4,"문제: 물분무소화설비의 물분무헤드를 설치하지 아니할 수 있는 기준 중 다음 ( )안에 알맞은 것은?\n\n운전 시에 표면의 온도가 ( )℃ 이상으로 되는 등 직접 분무를 한는 경우 그 부분에 손상을 입힐우려가 있는 기계장치 등이 있는 장소

선택지:
1. 79
2. 121
3. 162
4. 260

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,소방설비산업기사(기계),2019,3,소방기계시설의 구조 및 원리,79,유량을 토출하여 펌프를 시험할 때 성능시험 배관의 밸브를 막고 연속으로 운전할 경우 자동적으로 개방되는 것은 어느 밸브인가?,text_only,,후드밸브,릴리프밸브,시험밸브,유량조절밸브,2,4,GPT-4o,300,4,0,100.0,1.85,0.52,113,1,114,중간,0.000293,2,True,2,"문제: 유량을 토출하여 펌프를 시험할 때 성능시험 배관의 밸브를 막고 연속으로 운전할 경우 자동적으로 개방되는 것은 어느 밸브인가?

선택지:
1. 후드밸브
2. 릴리프밸브
3. 시험밸브
4. 유량조절밸브

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,소방설비산업기사(기계),2017,1,소방유체역학,34,"텅스텐, 백금 또는 백금-이리듐 등을 전기적으로 가열하고 통과 풍량에 따른 열 교환양으로 속도를 측정하는 것은?",text_only,,열선 풍속계,도플러 풍속계,컵형 풍속계,포토디텍터 풍속계,1,5,GPT-4o,300,5,0,100.0,2.28,0.43,111,1,112,중간,0.000288,1,True,1,"문제: 텅스텐, 백금 또는 백금-이리듐 등을 전기적으로 가열하고 통과 풍량에 따른 열 교환양으로 속도를 측정하는 것은?

선택지:
1. 열선 풍속계
2. 도플러 풍속계
3. 컵형 풍속계
4. 포토디텍터 풍속계

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,소방설비산업기사(기계),2003,4,소방원론,4,증기압에 대한 설명과 관계가 없는 것은?,text_only,,증기분자의 질량이 클수록 큰 증기압이 나타난다.,분자의 운동이 커지면 증기압이 증가한다.,액체의 온도가 상승하면 증기압이 증가한다.,증발과 응축이 평형상태일 때의 압력을 포화증기압이라한다.,1,6,GPT-4o,300,6,0,100.0,2.67,0.39,124,1,125,중간,0.00032,1,True,1,"문제: 증기압에 대한 설명과 관계가 없는 것은?

선택지:
1. 증기분자의 질량이 클수록 큰 증기압이 나타난다.
2. 분자의 운동이 커지면 증기압이 증가한다.
3. 액체의 온도가 상승하면 증기압이 증가한다.
4. 증발과 응축이 평형상태일 때의 압력을 포화증기압이라한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,소방설비산업기사(기계),2014,2,소방관계법규,49,"위험물시설의 설치 및 변경에 있어서 허가를 받지 아니하고 제조소 등을 설치하거나 그 위치, 구조 또는 설비를 변경 할 수 없는 경우는?",text_only,O,주택의 난방시설(공동주택의 중앙난방시설은 제외)을 위한 저장소 또는 취급소,농예용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,공업용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,수산용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소,3,7,GPT-4o,300,6,0,85.71,3.12,0.45,171,1,172,중간,0.000438,1,False,1,"문제: 위험물시설의 설치 및 변경에 있어서 허가를 받지 아니하고 제조소 등을 설치하거나 그 위치, 구조 또는 설비를 변경 할 수 없는 경우는?

선택지:
1. 주택의 난방시설(공동주택의 중앙난방시설은 제외)을 위한 저장소 또는 취급소
2. 농예용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소
3. 공업용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소
4. 수산용으로 필요한 난방시설 또는 건조시설을 위한 20배 이하의 저장소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,소방설비산업기사(기계),2003,2,소방원론,8,인체에 영향을 미치는 연소 생성물이 아닌 것은?,text_only,,시안계 물질,염화수소계 물질,황화수소,2황화탄소,4,8,GPT-4o,300,7,0,87.5,3.57,0.45,82,1,83,중간,0.000215,4,True,4,"문제: 인체에 영향을 미치는 연소 생성물이 아닌 것은?

선택지:
1. 시안계 물질
2. 염화수소계 물질
3. 황화수소
4. 2황화탄소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,소방설비산업기사(기계),2005,4,소방기계시설의 구조 및 원리,61,상수도 소화용수설비의 소화전은 호칭지름이 얼마이어야 하는가?,text_only,O,65mm 이상,80mm 이상,100mm 이상,150mm 이상,3,9,GPT-4o,300,7,0,77.78,4.03,0.45,87,1,88,중간,0.000228,1,False,1,"문제: 상수도 소화용수설비의 소화전은 호칭지름이 얼마이어야 하는가?

선택지:
1. 65mm 이상
2. 80mm 이상
3. 100mm 이상
4. 150mm 이상

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,소방설비산업기사(기계),2019,1,소방원론,3,소화기의 소화약제에 관한 공통적 성질에 대한 설명으로 틀린 것은?,text_only,O,산알칼리 소화약제는 양질의 유기산을 사용한다.,소화약제는 현저한 독성 또는 부식성이 없어야 한다.,분말상의 소화약제는 고체화 및 변질 등 이상이 없어야 한다.,"액상의 소화약제는 결정의 석출, 용액의 분리, 부유물 또는 침전물 등 기타 이상이 없어야 한다.",1,10,GPT-4o,300,8,0,80.0,4.55,0.52,157,1,158,중간,0.000403,1,True,1,"문제: 소화기의 소화약제에 관한 공통적 성질에 대한 설명으로 틀린 것은?

선택지:
1. 산알칼리 소화약제는 양질의 유기산을 사용한다.
2. 소화약제는 현저한 독성 또는 부식성이 없어야 한다.
3. 분말상의 소화약제는 고체화 및 변질 등 이상이 없어야 한다.
4. 액상의 소화약제는 결정의 석출, 용액의 분리, 부유물 또는 침전물 등 기타 이상이 없어야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
