ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트,Unnamed: 14
1,소방안전교육사,2018,A,교육학개론,80,다음 제시문의 설명에 해당하는 교육과정은?\n\n◯ 아이즈너(E. Eisner)가 쓴 책 ≪The educational imagination≫을 통해 소개되었다.\n◯ 학교에서 가르쳐야 할 중요한 내용이 있음에도 불구하고 공식적인 교육과정에 포함되지 않은 것을 뜻한다.,text_only,,영(零) 교육과정,잠재적 교육과정,명시적 교육과정,실제적 교육과정,1,1,GPT-4o Mini,300,0,0,0.0,0.46,0.46,141,1,142,매우 낮음,2.2e-05,2,False,2,"문제: 다음 제시문의 설명에 해당하는 교육과정은?\n\n◯ 아이즈너(E. Eisner)가 쓴 책 ≪The educational imagination≫을 통해 소개되었다.\n◯ 학교에서 가르쳐야 할 중요한 내용이 있음에도 불구하고 공식적인 교육과정에 포함되지 않은 것을 뜻한다.

선택지:
1. 영(零) 교육과정
2. 잠재적 교육과정
3. 명시적 교육과정
4. 실제적 교육과정

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
2,소방안전교육사,2022,A,교육학개론,76,형식적 교육에 관한 설명으로 옳은 것은?,text_only,,형식적 교육은 교육의 3요소가 필요 없다.,가정교육은 형식적 교육의 대표적 유형이다.,학교의 소방안전 교육은 형식적 교육에 속한다.,"형식적 교육은 비의도적, 비체계적으로 이루어진다.",3,2,GPT-4o Mini,300,1,0,50.0,1.37,0.91,118,1,119,매우 낮음,1.8e-05,3,True,3,"문제: 형식적 교육에 관한 설명으로 옳은 것은?

선택지:
1. 형식적 교육은 교육의 3요소가 필요 없다.
2. 가정교육은 형식적 교육의 대표적 유형이다.
3. 학교의 소방안전 교육은 형식적 교육에 속한다.
4. 형식적 교육은 비의도적, 비체계적으로 이루어진다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
3,소방안전교육사,2016,A,재난관리론,67,자연재해대책법령상 ( )안에 들어갈 내용으로 옳은 것은?\n\n대규모 재해복구사업은 법 제46조제2항에 따라 확정·통보된 재해복구계획을 기준으로 총 복구비(용지보상비를 포함한다)가 ( ) 이상인 사업을 말한다.,text_only,O,20억원,30억원,40억원,50억원,4,3,GPT-4o Mini,300,1,0,33.33,1.78,0.41,137,1,138,매우 낮음,2.1e-05,2,False,2,"문제: 자연재해대책법령상 ( )안에 들어갈 내용으로 옳은 것은?\n\n대규모 재해복구사업은 법 제46조제2항에 따라 확정·통보된 재해복구계획을 기준으로 총 복구비(용지보상비를 포함한다)가 ( ) 이상인 사업을 말한다.

선택지:
1. 20억원
2. 30억원
3. 40억원
4. 50억원

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
4,소방안전교육사,2018,A,재난관리론,69,자연재해대책법령상 수해 내구성강화를 위하여 수방기준을 정하여야 하는 시설물이 아닌 것은?,text_only,O,「하천법」 제2조제3호에 따른 하천시설,「댐건설 및 주변지역지원 등에 관한 법률」 제2조제1호에 따른 댐,「사방사업법」 제2조제3호에 따른 농업생산기반시설,「국토의 계획 및 이용에 관한 법률」 제2조제6호에 따른 기반시설,3,4,GPT-4o Mini,300,2,0,50.0,2.83,1.04,161,1,162,매우 낮음,2.5e-05,3,True,3,"문제: 자연재해대책법령상 수해 내구성강화를 위하여 수방기준을 정하여야 하는 시설물이 아닌 것은?

선택지:
1. 「하천법」 제2조제3호에 따른 하천시설
2. 「댐건설 및 주변지역지원 등에 관한 법률」 제2조제1호에 따른 댐
3. 「사방사업법」 제2조제3호에 따른 농업생산기반시설
4. 「국토의 계획 및 이용에 관한 법률」 제2조제6호에 따른 기반시설

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
5,소방안전교육사,2022,A,재난관리론,73,자연재해대책법령상 재해 유형별 행동 요령으로 대비단계에 포함되는 사항으로 옳은 것은?,text_only,O,보건위생 및 쓰레기 처리에 관한 사항,피해 발생이 우려되는 시설의 점검 · 관리에 관한 사항,통신 · 전력 · 가스 · 수도 등 국민생활에 필수적인 시설의 응급복구에 관한 사항,방재물자 · 통원장비의 확보 · 지정 및 관리에 관한 사항,2,5,GPT-4o Mini,300,3,0,60.0,5.31,2.48,146,1,147,매우 낮음,2.2e-05,2,True,2,"문제: 자연재해대책법령상 재해 유형별 행동 요령으로 대비단계에 포함되는 사항으로 옳은 것은?

선택지:
1. 보건위생 및 쓰레기 처리에 관한 사항
2. 피해 발생이 우려되는 시설의 점검 · 관리에 관한 사항
3. 통신 · 전력 · 가스 · 수도 등 국민생활에 필수적인 시설의 응급복구에 관한 사항
4. 방재물자 · 통원장비의 확보 · 지정 및 관리에 관한 사항

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
6,소방안전교육사,2019,B,구급 및 응급처치론,39,신경학적 검사 중 글래스고우 혼수 척도(GCS)의 평가점수로 옳은 것은?,text_only,,명령에 따라 눈을 뜬다: 개안반응 점수 4점,질문에 정확한 답변을 구사한다: 언어반응 점수 5점,자극을 주면 비정상적으로 팔을 굴곡한다: 운동반응 점수 4점,자극을 주면 비정상적으로 팔을 신전한다: 운동반응 점수 3점,2,6,GPT-4o Mini,300,3,0,50.0,8.0,2.69,160,1,161,매우 낮음,2.5e-05,3,False,3,"문제: 신경학적 검사 중 글래스고우 혼수 척도(GCS)의 평가점수로 옳은 것은?

선택지:
1. 명령에 따라 눈을 뜬다: 개안반응 점수 4점
2. 질문에 정확한 답변을 구사한다: 언어반응 점수 5점
3. 자극을 주면 비정상적으로 팔을 굴곡한다: 운동반응 점수 4점
4. 자극을 주면 비정상적으로 팔을 신전한다: 운동반응 점수 3점

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
7,소방안전교육사,2014,A,구급 및 응급처치론,36,"소아가 뜨거운 물에 흉복부 앞면, 생식기, 양쪽 다리 전체에 2도 화상을 입었다. '9의 법칙'에 의한 화상의 범위는?",text_only,,28%,37%,46%,55%,3,7,GPT-4o Mini,300,4,0,57.14,8.71,0.71,103,1,104,매우 낮음,1.6e-05,3,True,3,"문제: 소아가 뜨거운 물에 흉복부 앞면, 생식기, 양쪽 다리 전체에 2도 화상을 입었다. '9의 법칙'에 의한 화상의 범위는?

선택지:
1. 28%
2. 37%
3. 46%
4. 55%

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
8,소방안전교육사,2022,A,재난관리론,58,긴급구조대응활동 및 현장지휘에 관한 규칙상 표준지휘조직도에서 대응계획부의 업무로 옳은 것은?,text_only,,자원대기소 운영 및 교대조 관리,유관기관과 언론 및 보고에 관한 사항,재난상황정보의 수집 · 분석 및 상황예측,소속기관 일무수행지역의 현장 안전진단 및 안전조치,3,8,GPT-4o Mini,300,5,0,62.5,9.45,0.73,138,1,139,매우 낮음,2.1e-05,3,True,3,"문제: 긴급구조대응활동 및 현장지휘에 관한 규칙상 표준지휘조직도에서 대응계획부의 업무로 옳은 것은?

선택지:
1. 자원대기소 운영 및 교대조 관리
2. 유관기관과 언론 및 보고에 관한 사항
3. 재난상황정보의 수집 · 분석 및 상황예측
4. 소속기관 일무수행지역의 현장 안전진단 및 안전조치

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
9,소방안전교육사,2018,A,교육학개론,77,다음 제시문과 같이 학력(學歷)상승의 원인을 설명하는 이론은?\n\n◯ 학력(學歷)은 개인의 능력과 노력의 수준을 나타내는 공인된 '품질증명'이 되었다.\n◯ 남보다 한 단계라도 더 높은 학력(學歷)을 가지고 있는 것이 사회적 지위의 경쟁에서 유리하기 때문에 상급학교의 졸업장을 받으려 한다.\n◯ 학력(學歷)이 사회적 지위 획득의 수단이기 때문에 사람들이 높은 학력을 취득하고자 한다.,text_only,,학습욕구이론,지위경쟁이론,기술기능이론,국민통합이론,2,9,GPT-4o Mini,300,6,0,66.67,10.04,0.6,201,1,202,매우 낮음,3.1e-05,2,True,2,"문제: 다음 제시문과 같이 학력(學歷)상승의 원인을 설명하는 이론은?\n\n◯ 학력(學歷)은 개인의 능력과 노력의 수준을 나타내는 공인된 '품질증명'이 되었다.\n◯ 남보다 한 단계라도 더 높은 학력(學歷)을 가지고 있는 것이 사회적 지위의 경쟁에서 유리하기 때문에 상급학교의 졸업장을 받으려 한다.\n◯ 학력(學歷)이 사회적 지위 획득의 수단이기 때문에 사람들이 높은 학력을 취득하고자 한다.

선택지:
1. 학습욕구이론
2. 지위경쟁이론
3. 기술기능이론
4. 국민통합이론

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
10,소방안전교육사,2022,A,구급 및 응급처치론,43,"병원 밖 심장정지 생존사슬에서 첫 번째 단계는? (단, 2020년 한국형 심폐소생술 가이드라인을 따른다.)",text_only,O,제세동,전문소생술,목격자 심폐소생술,심장정지 인지 · 구조요청,4,10,GPT-4o Mini,300,7,0,70.0,10.96,0.91,109,1,110,매우 낮음,1.7e-05,4,True,4,"문제: 병원 밖 심장정지 생존사슬에서 첫 번째 단계는? (단, 2020년 한국형 심폐소생술 가이드라인을 따른다.)

선택지:
1. 제세동
2. 전문소생술
3. 목격자 심폐소생술
4. 심장정지 인지 · 구조요청

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",
